,0,1,2,3,4,5,6,7,8,9,pos x,pos y,theta_z,c,r,pos_z,theta_y,UZ - N1 M1,UZ - N1 M2,UZ - N1 M3,UZ - N1 M4,UZ - N2 M4,UZ - N3 M4,UZ - N4 M4,UZ - N2 M3,UZ - N3 M3,UZ - N4 M3,UZ - N2 M2,UZ - N3 M2,UZ - N4 M2,UZ - N2 M1,UZ - N3 M1,UZ - N4 M1
Core damage 1,209.6,348.99,827.67,1034.5,1169.3,1270.9,1603.5,1701.2,1836.5,2017.7,0.0539863068009189,0.0994182687871028,21.77261278858967,0.029013046552373,0.235320792938986,0.0062923354600312,0.7573907859817979,2.005785864758163,1.417570486390773,-2.772322833714106,1.615780729487775,1.625644308766271,1.645252041205519,1.892295835744732,-2.763058797529403,-2.886249819455696,-2.8200403984031,1.437672179308098,1.319038822732516,1.628142040206843,2.012628569806208,1.925631150215683,1.988941231363408
Core damage 3,209.63,348.97,827.31,1034.6,1170.1,1270.7,1603.7,1704.3,1838.6,2017.4,0.0464864884172088,0.0646941392629669,129.59291815603646,0.0231753434444199,0.2302224013074755,0.0062060741706927,-6.016951243829281,1.187806829075911,1.663084239528912,-3.445089407610774,3.656072631670191,3.672814586499286,3.614646666081957,3.372889109836083,-3.437339400383434,-3.445832087869199,-3.415831144152473,1.65795142907386,1.643719327558605,1.481683110270047,1.175645388108185,1.188744522642878,1.141965457342524
Core damage 4,209.68,349.01,826.31,1034.6,1170.9,1271.2,1601.3,1704.6,1839.0,2003.1,0.1062952539410211,0.1419033208049778,157.5832476796381,0.0269920723148758,0.3376512665539428,0.0062791082172561,5.351440957524098,3.176872803113646,0.2043046315899948,0.2013605302087622,0.04073720750326326,0.03664342155010977,0.02023744865365391,0.002769133371079188,0.1091141745933236,0.2242064244455891,-0.5340256900760731,0.2100357754308037,0.1203725711900299,-0.3900036732991965,3.150708431652091,3.181262081265979,2.953392514165792
Core damage 5,209.69,349.04,827.21,1034.5,1170.0,1270.9,1604.8,1704.7,1839.2,2016.2,0.1244385396834287,0.1469643648470334,114.48470771974372,0.0194245803191436,0.2857790609482933,0.0061200787580281,-5.400418129437787,3.32735893400716,-1.139075083252977,0.612740008927761,-0.4284793193973251,-0.4944992211108012,-0.4478471904230107,-0.2297005550542168,0.64505110803895,0.6498737931379391,0.01939355846945974,-1.255944630794647,-1.151102330269972,-1.252048886754392,3.336511221565697,3.338516574280681,3.142331697757174
Core damage 6,209.36,348.4,826.03,1032.8,1167.2,1270.7,1598.5,1697.7,1831.6,2010.5,0.0460669215230371,0.074622197045603,6.789764308319235,0.023551078667377,0.3199960754260019,0.0061456193838722,7.084180058220318,1.313503225684833,1.356516834658988,-3.407348583029565,-2.81641263269348,-2.765332021423303,-2.904492892105659,-3.456801179545464,-3.324298411027031,-3.421178147572022,-3.321813551267012,1.23438771658407,1.408547379636419,1.490102401134122,1.188031897962334,1.321585313603876,1.108800224314999
Core damage 7,209.57,348.9,827.77,1034.8,1168.6,1270.8,1600.5,1700.2,1834.4,2015.6,0.1579836969347785,0.0846930700202677,96.07455873899394,0.0278494096764646,0.3002823433527501,0.0060868053248988,4.53571160938446,1.785259529824388,-2.102062747706702,-3.182137774903866,-2.952235428392391,-2.973783754894222,-3.062047225566832,-3.190851988944428,-3.188192822211187,-3.190342527989809,-3.392694817637333,-2.108465826873985,-2.17673895480774,-1.776684933632263,1.781380370166937,1.788387598181939,1.483182797326118
Core damage 8,209.66,348.82,826.31,1033.7,1169.1,1271.2,1602.1,1701.3,1837.1,2009.2,0.08212772663925,0.1587547134416841,166.7514997780259,0.0275731817648638,0.2690669070197642,0.006070808549753,-3.684641719956744,3.470579031885691,1.799155948003679,1.006885293435258,0.9146104230764288,0.8526826579070089,0.9622556499275364,0.6163151266862305,0.9384290091911464,1.166789112752815,1.09709593920211,1.746634139809565,1.739287590398468,1.176479412209063,3.450969070358791,3.511896926844652,3.479723100526875
Core damage 9,209.63,349.04,827.4,1034.4,1170.2,1270.7,1604.9,1704.1,1839.2,2016.7,0.1207622559919105,0.0680034212526072,97.43688661186012,0.0249747050334729,0.2171825568451513,0.0063040096025656,5.225360730034998,1.37400256104263,-0.5683004654440272,-3.314528363086199,-1.166541202789489,-1.246053646770878,-1.323201621751217,-1.081446939011755,-3.317763679923512,-3.322807661435901,-3.228405628580724,-0.5986001863963871,-0.6092471509993758,-0.459404785144525,1.375455172396585,1.327250615421713,1.101048744751887
Core damage 10,209.68,349.06,827.26,1034.5,1169.8,1270.9,1605.0,1705.2,1839.4,2017.8,0.0655318476135965,0.135870526350239,16.821870120021913,0.0178647745887193,0.3182737534922608,0.0061219012524258,5.960321171558025,2.880152078174364,1.369627054285677,-0.7532514891896037,0.124911199099317,0.08643134979994571,0.1566695753730061,0.3465251523351163,-0.6811845191136845,-0.8100209807045483,-1.04017453338114,1.417818245577439,1.363905877754684,1.705091543861153,2.902667417673075,2.862336834818013,2.789295617101129
Core damage 11,209.65,349.04,826.94,1034.5,1170.4,1271.0,1603.1,1705.4,1838.8,2010.0,0.0883882964478321,0.1276214286981418,153.5618700093333,0.0265673754130837,0.2880743309030491,0.0063742122029489,-4.244534050382116,2.719814896807593,1.176507408712176,-1.191349363081599,0.3466948135611757,0.2447109409967804,0.3437496259987451,0.1244067717826916,-1.036896984235169,-1.195302649809079,-1.098994960099561,1.087693869669387,1.157729808654687,0.5741034329734561,2.767748457403264,2.717729760994996,2.729668957069331
