,0,1,2,3,4,5,6,7,8,9,Type,pos x,pos y,theta,c,r,UZ - N1 M1,UZ - N1 M2,UZ - N1 M3,UZ - N1 M4,UZ - N2 M4,UZ - N3 M4,UZ - N4 M4,UZ - N2 M3,UZ - N3 M3,UZ - N4 M3,UZ - N2 M2,UZ - N3 M2,UZ - N4 M2,UZ - N2 M1,UZ - N3 M1,UZ - N4 M1
Skin damage 1,209.86,351.03,836.06,1044.9,1180.1,1267.2,1622.3,1727.4,1863.3,2044.0,Interface,0.0909441488836914,0.0426840293153908,152.0607771773239,0.0370054656675781,0.7566249468005919,4.489910763682058,4.191547942593131,3.90624828577103,-4.686245247923662,1.425615718069527,3.62074216903187,-3.465346798035918,4.104866207576222,-3.457801857639064,-3.440265582847752,-1.163686422455328,1.848271107163547,-1.759168169863327,4.501079804570493,1.351220468724493,1.353018202121999
Skin damage 2,210.07,350.82,834.98,1044.7,1179.3,1267.2,1621.5,1727.5,1862.9,2043.4,Skin,0.0764424250927123,0.081562781556519,171.56197862002492,0.0628780803927756,0.281153093458392,4.492003382975081,4.194070331260085,3.913985686881525,-4.676419231876519,1.438394035093558,3.616460509126949,-3.473756403590625,4.101314602809857,-3.468009121836753,-3.432862760778687,-1.164548862925671,1.845597318706125,-1.757493518173223,4.502595517442503,1.348754844681212,1.352337624039397
Skin damage 3,210.25,351.16,835.75,1044.9,1179.7,1269.0,1622.6,1727.3,1863.2,2043.9,Skin,0.110037401401743,0.0968736063548635,39.57332745677428,0.0331292846236332,0.3981012355101192,4.48860692491405,4.19398666639664,3.905063222742124,4.686069679412833,-1.423063228246195,-3.623022122157395,3.464920747743968,4.108557033056825,-3.455520765778172,-3.441340120923182,-1.162850023530991,1.847043250254149,-1.757161138542537,4.501281295637916,1.351263304332175,1.3535317859816
Skin damage 4,209.88,349.97,832.98,1043.8,1175.6,1264.2,1617.7,1726.0,1862.2,2042.2,Skin,0.1108819441443672,0.0916239685976555,178.04095202009773,0.0520165485030332,0.9929992314391084,4.491628981016851,4.19757657148824,3.886816779962889,4.686303309589213,-1.405551507458461,-3.634969915496578,3.461316804083989,4.11867701139601,-3.445209632541139,-3.451074512915763,-1.162653151541812,1.843480213262014,-1.751966310883797,4.508372499483519,1.347624052301364,1.348852924056392
Skin damage 5,210.28,351.01,835.82,1043.8,1177.7,1268.7,1623.0,1726.4,1863.0,2043.9,Interface,0.1020593268640087,0.1423216691327178,49.12978936554936,0.0357384502722287,0.892403885851724,4.488487731321855,4.197697835136279,3.90811111764617,-4.686470802593279,1.429297330043433,3.62195473004844,-3.465690359275923,4.116582944099998,-3.455912504546469,-3.439644300309481,-1.165213528249114,1.845234030766128,-1.755497410236596,4.501520063796567,1.351486334194232,1.353931878316282
Skin damage 6,209.91,350.31,834.09,1044.1,1177.7,1264.9,1619.6,1726.6,1862.4,2042.2,Skin,0.0761630357419517,0.0854350826691917,107.76013325801588,0.0665218859986912,0.5123975425024732,4.494694062144099,4.195686912995529,3.921438528942248,-4.670822153808483,1.45077747501818,3.611468108816165,-3.480408460750013,4.100448903861449,-3.472309533152023,-3.427065003597991,-1.166979232095748,1.843820639809665,-1.756217671248196,4.504455188454923,1.347268264857843,1.351215683855574
Skin damage 7,210.26,351.04,835.39,1043.5,1179.2,1269.0,1621.6,1724.8,1860.8,2041.6,Skin,0.0458107581073502,0.1311406332497046,33.81125320175221,0.0685409189591518,0.2248583739003384,4.490900171288807,4.197010738313654,3.937276806578682,4.693988909979488,-1.457424886111578,-3.605908709464037,3.475673058216694,4.102780443600229,-3.462965017532683,-3.429389559611906,-1.166374213775258,1.845439581467742,-1.756285323479065,4.500894208924634,1.351097223581274,1.353884138332767
Skin damage 8,210.27,350.82,835.59,1043.0,1175.3,1268.5,1622.4,1724.8,1862.5,2042.3,Skin,0.0874394333762023,0.1431047953501477,124.35404797295288,0.0445736249856571,0.7133149405086159,4.488997662455656,4.201459110120346,3.914203476823616,4.692871456483877,-1.445645253893414,-3.621447299260318,3.466582854235272,4.11908198365471,-3.456046397675328,-3.437683997221884,-1.169229434080811,1.843363370490158,-1.754094735592462,4.501732205760281,1.351362970534491,1.353886561599326
Skin damage 9,210.08,351.1,835.92,1044.9,1180.2,1268.2,1622.7,1727.3,1863.2,2043.9,Skin,0.134645112030354,0.0569140696531897,36.08203708519071,0.0336333913302543,0.5730195182203736,4.486730831388184,4.194463168856192,3.902204594245628,4.690978845160616,-1.421052167270278,-3.624204580366871,3.463010085212804,4.105487747776083,-3.454023376653927,-3.444402956965684,-1.160876978395024,1.848723031061022,-1.757528398641325,4.501964406233676,1.35045390729535,1.353312354761971
Skin damage 10,210.15,351.04,835.62,1044.8,1179.8,1268.0,1622.4,1727.5,1863.1,2043.8,Interface,0.1268275960264339,0.0797952753790748,58.922857608043714,0.0325996223623983,0.7442997286762301,4.488099514325955,4.194101943971188,3.900089426658365,4.689984136212893,-1.418010376452378,-3.626144205060418,3.461863230505248,4.107981224660813,-3.45264662848645,-3.445398736826802,-1.16183126933912,1.84762335172052,-1.756982612612277,4.502327755385832,1.350682900364638,1.352775972779527
