

  *****  INDEX OF DATA SETS ON RESULTS FILE  *****

   SET   TIME/FREQ    LOAD STEP   SUBSTEP  CUMULATIVE
     1  208.93             1         1         1                  
     2  347.90             1         2         2                  
     3  819.72             1         3         3                  
     4  1028.9             1         4         4                  
     5  1167.6             1         5         5                  
     6  1259.3             1         6         6                  
     7  1592.9             1         7         7                  
     8  1690.2             1         8         8                  
     9  1835.8             1         9         9                  
    10  2020.8             1        10        10                  
