

  *****  INDEX OF DATA SETS ON RESULTS FILE  *****

   SET   TIME/FREQ    LOAD STEP   SUBSTEP  CUMULATIVE
     1  210.46             1         1         1                  
     2  360.80             1         2         2                  
     3  815.48             1         3         3                  
     4  1044.8             1         4         4                  
     5  1232.9             1         5         5                  
     6  1292.4             1         6         6                  
     7  1642.5             1         7         7                  
     8  1669.5             1         8         8                  
     9  1816.7             1         9         9                  
    10  2080.2             1        10        10                  
