
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  Y     X     Z   

   NODE        X                   Y                   Z
        1    0.00000000000         0.00000000000         0.00000000000     
     7566    0.00000000000         0.00000000000         0.00000000000     
    15132    0.00000000000         0.00000000000        0.250000000000E-002
    15131    0.00000000000         0.00000000000        0.500000000000E-002
    15130    0.00000000000         0.00000000000        0.750000000000E-002
    15129    0.00000000000         0.00000000000        0.100000000000E-001
     3783    0.00000000000         0.00000000000        0.125000000000E-001
    11347    0.00000000000         0.00000000000        0.125000000000E-001
        3   0.298360655738E-002    0.00000000000         0.00000000000     
     7747   0.298360655738E-002    0.00000000000         0.00000000000     
    15317   0.298360655738E-002    0.00000000000        0.250000000000E-002
    15257   0.298360655738E-002    0.00000000000        0.500000000000E-002
    15197   0.298360655738E-002    0.00000000000        0.750000000000E-002
    15137   0.298360655738E-002    0.00000000000        0.100000000000E-001
     3785   0.298360655738E-002    0.00000000000        0.125000000000E-001
    11349   0.298360655738E-002    0.00000000000        0.125000000000E-001
        4   0.596721311475E-002    0.00000000000         0.00000000000     
     7748   0.596721311475E-002    0.00000000000         0.00000000000     
    15318   0.596721311475E-002    0.00000000000        0.250000000000E-002
    15258   0.596721311475E-002    0.00000000000        0.500000000000E-002

   NODE        X                   Y                   Z
    15198   0.596721311475E-002    0.00000000000        0.750000000000E-002
    15138   0.596721311475E-002    0.00000000000        0.100000000000E-001
     3786   0.596721311475E-002    0.00000000000        0.125000000000E-001
    11350   0.596721311475E-002    0.00000000000        0.125000000000E-001
        5   0.895081967213E-002    0.00000000000         0.00000000000     
     7749   0.895081967213E-002    0.00000000000         0.00000000000     
    15319   0.895081967213E-002    0.00000000000        0.250000000000E-002
    15259   0.895081967213E-002    0.00000000000        0.500000000000E-002
    15199   0.895081967213E-002    0.00000000000        0.750000000000E-002
    15139   0.895081967213E-002    0.00000000000        0.100000000000E-001
     3787   0.895081967213E-002    0.00000000000        0.125000000000E-001
    11351   0.895081967213E-002    0.00000000000        0.125000000000E-001
        6   0.119344262295E-001    0.00000000000         0.00000000000     
     7750   0.119344262295E-001    0.00000000000         0.00000000000     
    15320   0.119344262295E-001    0.00000000000        0.250000000000E-002
    15260   0.119344262295E-001    0.00000000000        0.500000000000E-002
    15200   0.119344262295E-001    0.00000000000        0.750000000000E-002
    15140   0.119344262295E-001    0.00000000000        0.100000000000E-001
     3788   0.119344262295E-001    0.00000000000        0.125000000000E-001
    11352   0.119344262295E-001    0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
        7   0.149180327869E-001    0.00000000000         0.00000000000     
     7751   0.149180327869E-001    0.00000000000         0.00000000000     
    15321   0.149180327869E-001    0.00000000000        0.250000000000E-002
    15261   0.149180327869E-001    0.00000000000        0.500000000000E-002
    15201   0.149180327869E-001    0.00000000000        0.750000000000E-002
    15141   0.149180327869E-001    0.00000000000        0.100000000000E-001
     3789   0.149180327869E-001    0.00000000000        0.125000000000E-001
    11353   0.149180327869E-001    0.00000000000        0.125000000000E-001
