

  *****  INDEX OF DATA SETS ON RESULTS FILE  *****

   SET   TIME/FREQ    LOAD STEP   SUBSTEP  CUMULATIVE
     1  209.45             1         1         1                  
     2  350.36             1         2         2                  
     3  834.70             1         3         3                  
     4  1044.0             1         4         4                  
     5  1179.2             1         5         5                  
     6  1264.2             1         6         6                  
     7  1620.7             1         7         7                  
     8  1726.4             1         8         8                  
     9  1862.5             1         9         9                  
    10  2042.4             1        10        10                  
