,0,   SET   TIME/FREQ    LOAD STEP   SUBSTEP  CUMULATIVE
0,1,     1  268.76             1         1         1                  
1,2,     2  500.15             1         2         2                  
2,3,     3  1094.5             1         3         3                  
3,4,     4  1434.0             1         4         4                  
4,5,     5  1527.6             1         5         5                  
5,6,     6  1629.5             1         6         6                  
6,7,     7  2190.3             1         7         7                  
7,8,     8  2282.3             1         8         8                  
8,9,     9  2492.7             1         9         9                  
9,10,    10  2674.1             1        10        10                  
